datetime,open,high,low,close,volume,ohlc4,sma,smoothing_sma,sma_diff,sma_sign,sma_crossover,sma_signal,brick_color,day_of_week,day_of_week_transition,take_profit,stop_loss,position_count,cum_position_count,stop_loss_hit,
55:55.3,1.0638,1.0641,1.06344,1.0641,838,1.06386,1.0635825,1.063615,-3.25E-05,-1,0,sell,green,Friday,0,,1.0641,0,2760,1,0
07:31.4,1.0638,1.06405,1.0635,1.0635,526,1.0637125,1.06397,1.06395,2.00E-05,1,0,buy,red,Friday,0,,1.0635,0,2763,1,0
00:31.5,1.062,1.0623,1.06174,1.0623,897,1.062085,1.061840833,1.061847778,-6.94E-06,-1,0,sell,green,Friday,0,,1.0623,0,2766,1,0
41:14.4,1.0602,1.06033,1.0599,1.0599,374,1.0600825,1.0603975,1.060376944,2.06E-05,1,0,buy,red,Thursday,0,,1.0599,0,2851,1,0
03:17.2,1.0548,1.0551,1.0548,1.0551,98,1.05495,1.054610833,1.054611111,-2.78E-07,-1,0,sell,green,Friday,0,,1.0551,0,2890,1,0
59:38.9,1.0548,1.05501,1.0545,1.0545,1050,1.0547025,1.0549925,1.054978056,1.44E-05,1,0,buy,red,Friday,0,,1.0545,0,2901,1,0
11:00.8,1.0638,1.06419,1.0635,1.0635,914,1.0637475,1.064011667,1.063989444,2.22E-05,1,0,buy,red,Tuesday,0,,1.0635,0,2937,1,0
08:39.6,1.0602,1.06042,1.0599,1.0599,387,1.060105,1.060393333,1.060384167,9.17E-06,1,0,buy,red,Tuesday,0,,1.0599,0,2941,1,0
27:35.0,1.0638,1.0641,1.06336,1.0641,1617,1.06384,1.063584167,1.063608889,-2.47E-05,-1,0,sell,green,Wednesday,0,,1.0641,0,2948,1,0
51:50.0,1.0602,1.0605,1.05985,1.0605,1094,1.0602625,1.059995,1.060014444,-1.94E-05,-1,0,sell,green,Friday,0,,1.0605,0,3002,1,0
02:52.8,1.062,1.06233,1.0617,1.0617,234,1.0619325,1.062198333,1.062183333,1.50E-05,1,0,buy,red,Tuesday,0,,1.0617,0,3061,1,0
24:45.3,1.0692,1.0695,1.06876,1.0695,76,1.06924,1.069016667,1.069036667,-2.00E-05,-1,0,sell,green,Monday,0,,1.0695,0,3192,1,0
36:25.1,1.0692,1.0692,1.0689,1.0689,46,1.06905,1.069385833,1.069371111,1.47E-05,1,0,buy,red,Monday,0,,1.0689,0,3201,1,0
41:20.8,1.071,1.0713,1.07071,1.0713,569,1.0710775,1.070825833,1.070830556,-4.72E-06,-1,0,sell,green,Monday,0,,1.0713,0,3258,1,0
45:04.7,1.0728,1.07335,1.0725,1.0725,8705,1.0727875,1.073015833,1.072981944,3.39E-05,1,0,buy,red,Tuesday,0,,1.0725,0,3275,1,0
49:59.9,1.0731,1.0734,1.07257,1.0734,1388,1.0731175,1.072881667,1.072896389,-1.47E-05,-1,0,sell,green,Tuesday,0,,1.0734,0,3316,1,0
08:50.3,1.0731,1.07318,1.0728,1.0728,436,1.07297,1.073286667,1.073271111,1.56E-05,1,0,buy,red,Tuesday,0,,1.0728,0,3319,1,0
34:08.0,1.0602,1.0605,1.06017,1.0605,88,1.0603425,1.060036667,1.060045,-8.33E-06,-1,0,sell,green,Wednesday,0,,1.0605,0,3354,1,0
38:44.7,1.0602,1.0605,1.06017,1.0605,103,1.0603425,1.060016667,1.060027222,-1.06E-05,-1,0,sell,green,Wednesday,0,,1.0605,0,3356,1,0
00:43.5,1.0602,1.0605,1.05996,1.0605,310,1.06029,1.059996667,1.060022778,-2.61E-05,-1,0,sell,green,Thursday,0,,1.0605,0,3464,1,0
59:00.8,1.0656,1.06581,1.0653,1.0653,1303,1.0655025,1.065766667,1.065756111,1.06E-05,1,0,buy,red,Friday,0,,1.0653,0,3485,1,0
08:24.3,1.071,1.0713,1.07092,1.0713,312,1.07113,1.07084,1.070855833,-1.58E-05,-1,0,sell,green,Monday,0,,1.0713,0,3530,1,0
14:19.0,1.0839,1.08413,1.0836,1.0836,391,1.0838075,1.0841175,1.084100556,1.69E-05,1,0,buy,red,Wednesday,0,,1.0836,0,3579,1,0
40:50.9,1.0893,1.0896,1.08911,1.0896,1282,1.0894025,1.089134167,1.089142778,-8.61E-06,-1,0,sell,green,Thursday,0,,1.0896,0,3624,1,0
58:05.3,1.0785,1.07897,1.0782,1.0782,818,1.0784675,1.078704167,1.078683056,2.11E-05,1,0,buy,red,Monday,0,,1.0782,0,3697,1,0
